2024-03-25-00:44:38, Preliminaries complete. Initiating ETL process
2024-03-25-00:44:39, Data extraction complete. Initiating Transformation process
2024-03-25-00:44:39, Data transformation complete. Initiating loading process
2024-03-25-00:44:39, Data saved to CSV file
2024-03-25-00:44:39, Data saved to JSON file
2024-03-25-00:44:39, SQL Connection initiated.
2024-03-25-00:44:39, Data loaded to Database as table. Running the query
2024-03-25-00:44:39, First query statement was executed.
2024-03-25-00:44:39, Second query statement was executed.
2024-03-25-00:44:39, Third query statement was executed.
2024-03-25-00:44:39, Process complete.
2024-03-25-00:44:39, Server connection closed.
2024-11-24-15:39:47, Preliminaries complete. Initiating ETL process
2024-11-24-15:39:50, Data extraction complete. Initiating Transformation process
2024-11-24-15:51:47, Preliminaries complete. Initiating ETL process
2024-11-24-15:51:49, Data extraction complete. Initiating Transformation process
2024-11-24-15:51:49, Data transformation complete. Initiating loading process
2024-11-24-15:51:49, Data saved to CSV file
2024-11-24-15:51:49, Data saved to JSON file
2024-11-24-15:51:49, SQL Connection initiated.
2024-11-24-15:51:49, Data loaded to Database as table. Running the query
2024-11-24-15:51:50, First query statement was executed.
2024-11-24-15:51:50, Second query statement was executed.
2024-11-24-15:51:50, Third query statement was executed.
2024-11-24-15:51:50, Process complete.
2024-11-24-15:51:50, Server connection closed.
